ball_x,ball_y,player_y
952,492,430
959,499,430
966,506,430
973,513,430
980,520,430
987,527,430
994,534,430
1001,541,430
1008,548,430
1015,555,430
1022,562,430
1029,569,430
1036,576,430
1043,583,430
1050,590,430
1057,597,430
1064,604,430
1071,611,430
1078,618,430
1085,625,430
1092,632,430
1099,639,430
1106,646,430
1113,653,430
1120,660,430
1127,667,430
1134,674,430
1141,681,430
1148,688,430
1155,695,430
1162,702,430
1169,709,430
1176,716,430
1183,723,430
1190,730,430
1197,737,430
1204,744,430
1211,751,430
1218,758,430
1225,765,430
1232,772,430
1239,779,430
1246,786,430
1253,793,430
1260,800,430
1267,807,430
1274,814,430
1281,821,430
1288,828,430
1295,835,430
1302,842,430
1309,849,430
1316,856,430
1323,863,430
1330,870,430
1337,877,430
1344,884,430
1351,891,430
1358,898,430
1365,905,430
1372,912,430
1379,919,430
1386,926,430
1393,933,430
1400,940,430
1407,947,430
1414,954,430
1421,961,430
1428,968,430
1435,975,430
1442,968,430
1449,961,430
1456,954,430
1463,947,430
1470,940,430
1477,933,430
1484,926,430
1491,919,430
1498,912,430
1505,905,430
1512,898,430
1519,891,430
1526,884,430
1533,877,430
1540,870,430
1547,863,430
1554,856,430
1561,849,430
1568,842,430
1575,835,430
1582,828,430
1589,821,430
1596,814,430
1603,807,430
1610,800,430
1617,793,430
1624,786,430
1631,779,430
1638,772,430
1645,765,430
1652,758,430
1659,751,430
1666,744,430
1673,737,430
1680,730,430
1687,723,430
1694,716,430
1701,709,430
1708,702,430
1715,695,430
1722,688,430
1729,681,430
1736,674,430
1743,667,430
1750,660,430
1757,653,430
1764,646,430
1771,639,430
1778,632,430
1785,625,430
1792,618,430
1799,611,430
1806,604,430
1813,597,430
1820,590,430
1827,583,430
1834,576,430
1841,569,430
1848,562,430
1855,555,430
1862,548,430
1869,541,430
1876,534,430
1869,527,430
1862,520,430
1855,513,430
1848,506,430
1841,499,430
1834,492,430
1827,485,430
1820,478,430
1813,471,430
1806,464,430
1799,457,430
1792,450,430
1785,443,430
1778,436,430
1771,429,430
1764,422,430
1757,415,430
1750,408,430
1743,401,430
1736,394,430
1729,387,430
1722,380,430
1715,373,430
1708,366,430
1701,359,430
1694,352,430
1687,345,430
1680,338,430
1673,331,430
1666,324,430
1659,317,430
1652,310,430
1645,303,430
1638,296,430
1631,289,430
1624,282,430
1617,275,430
1610,268,430
1603,261,430
1596,254,430
1589,247,430
1582,240,430
1575,233,430
1568,226,430
1561,219,430
1554,212,430
1547,205,430
1540,198,430
1533,191,430
1526,184,430
1519,177,430
1512,170,430
1505,163,430
1498,156,430
1491,149,430
1484,142,430
1477,135,430
1470,128,430
1463,121,430
1456,114,430
1449,107,430
1442,100,430
1435,93,430
1428,86,430
1421,79,430
1414,72,430
1407,65,430
1400,58,430
1393,51,430
1386,44,430
1379,37,430
1372,30,430
1365,23,430
1358,16,430
1351,9,430
1344,2,430
1337,-5,430
1330,2,430
1323,9,430
1316,16,430
1309,23,430
1302,30,430
1295,37,430
1288,44,430
1281,51,430
1274,58,430
1267,65,430
1260,72,430
1253,79,430
1246,86,430
1239,93,430
1232,100,430
1225,107,430
1218,114,430
1211,121,430
1204,128,430
1197,135,430
1190,142,430
1183,149,430
1176,156,430
1169,163,430
1162,170,430
1155,177,430
1148,184,430
1141,191,430
1134,198,430
1127,205,430
1120,212,430
1113,219,430
1106,226,430
1099,233,430
1092,240,430
1085,247,430
1078,254,430
1071,261,430
1064,268,430
1057,275,430
1050,282,430
1043,289,430
1036,296,430
1029,303,430
1022,310,430
1015,317,430
1008,324,430
1001,331,430
994,338,430
987,345,430
980,352,430
973,359,430
966,366,430
959,373,430
952,380,430
945,387,430
938,394,430
931,401,430
924,408,430
917,415,430
910,422,430
903,429,430
896,436,430
889,443,430
882,450,430
875,457,430
868,464,430
861,471,430
854,478,430
847,485,430
840,492,430
833,499,430
826,506,430
819,513,430
812,520,430
805,527,430
798,534,430
791,541,430
784,548,430
777,555,430
770,562,430
763,569,430
756,576,430
749,583,430
742,590,430
735,597,430
728,604,430
721,611,430
714,618,430
707,625,430
700,632,430
693,639,430
686,646,430
679,653,430
672,660,430
665,667,430
658,674,430
651,681,430
644,688,430
637,695,430
630,702,430
623,709,430
616,716,430
609,723,430
602,730,430
595,737,430
588,744,430
581,751,430
574,758,430
567,765,430
560,772,430
553,779,430
546,786,430
539,793,430
532,800,430
525,807,430
518,814,430
511,821,430
504,828,430
497,835,430
490,842,430
483,849,430
476,856,430
469,863,430
462,870,430
455,877,430
448,884,430
441,891,430
434,898,430
427,905,430
420,912,430
413,919,430
406,926,430
399,933,430
392,940,430
385,947,430
378,954,430
371,961,430
364,968,430
357,975,430
350,968,430
343,961,430
336,954,430
329,947,430
322,940,430
315,933,430
308,926,430
301,919,430
294,912,430
287,905,430
280,898,430
273,891,430
266,884,430
259,877,430
252,870,430
245,863,430
238,856,430
231,849,430
224,842,430
217,835,430
210,828,430
203,821,430
196,814,430
189,807,430
182,800,430
175,793,430
168,786,430
161,779,430
154,772,430
147,765,430
140,758,430
133,751,430
126,744,430
119,737,430
112,730,430
105,723,430
98,716,430
91,709,430
84,702,430
77,695,430
70,688,430
63,681,430
56,674,430
49,667,430
42,660,430
35,653,430
28,646,430
21,639,430
14,632,430
21,625,430
28,618,430
35,611,430
42,604,430
49,597,430
56,590,430
63,583,430
70,576,430
77,569,430
84,562,430
91,555,430
98,548,430
105,541,430
112,534,430
119,527,430
126,520,430
133,513,430
140,506,430
147,499,430
154,492,430
161,485,430
168,478,430
175,471,430
182,464,430
189,457,430
196,450,430
203,443,430
210,436,430
217,429,430
224,422,430
231,415,430
238,408,430
245,401,430
252,394,430
259,387,430
266,380,430
273,373,430
280,366,430
287,359,430
294,352,430
301,345,430
308,338,430
315,331,430
322,324,430
329,317,430
336,310,430
343,303,430
350,296,430
357,289,430
364,282,430
371,275,430
378,268,430
385,261,430
392,254,430
399,247,430
406,240,430
413,233,430
420,226,430
427,219,430
434,212,430
441,205,430
448,198,430
455,191,430
462,184,430
469,177,430
476,170,430
483,163,430
490,156,430
497,149,430
504,142,430
511,135,430
518,128,430
525,121,430
532,114,430
539,107,430
546,100,430
553,93,430
560,86,430
567,79,430
574,72,430
581,65,430
588,58,430
595,51,430
602,44,430
609,37,430
616,30,430
623,23,430
630,16,430
637,9,430
644,2,430
651,-5,430
658,2,430
665,9,430
672,16,430
679,23,430
686,30,430
693,37,430
700,44,430
707,51,430
714,58,430
721,65,430
728,72,430
735,79,430
742,86,430
749,93,430
756,100,430
763,107,430
770,114,430
777,121,430
784,128,430
791,135,430
798,142,430
805,149,430
812,156,430
