ball_x,ball_y,player_y
1171,353,406
1178,360,413
1185,367,420
1192,374,427
1199,381,434
1206,388,441
1213,395,448
1220,402,455
1227,409,462
1234,416,462
1241,423,462
1248,430,462
625,465,462
618,458,462
611,451,462
604,444,462
597,437,462
590,430,462
583,423,462
576,416,462
569,409,462
562,402,462
555,395,462
548,388,462
541,381,462
534,374,462
527,367,462
520,360,462
513,353,462
506,346,462
499,339,462
492,332,462
485,325,462
478,318,462
471,311,462
464,304,462
457,297,462
450,290,462
443,283,462
436,276,462
429,269,462
422,262,462
415,255,462
408,248,462
401,241,455
394,234,448
387,227,441
380,220,441
373,213,441
366,206,441
359,199,441
352,192,441
345,185,441
338,178,441
331,171,441
324,164,441
317,157,434
310,150,427
303,143,420
296,136,413
289,129,406
282,122,399
275,115,392
268,108,385
261,101,378
254,94,371
247,87,364
240,80,357
233,73,350
226,66,343
219,59,336
212,52,329
205,45,322
198,38,315
191,31,308
184,24,301
177,17,294
170,10,287
163,3,280
156,-4,273
149,3,266
142,10,259
135,17,252
128,24,245
121,31,238
114,38,231
107,45,224
100,52,217
93,59,210
86,66,203
79,73,196
72,80,196
65,87,196
58,94,196
51,101,196
44,108,196
37,115,196
30,122,196
23,129,196
16,136,196
23,143,196
30,150,196
37,157,196
44,164,196
51,171,196
58,178,196
65,185,196
72,192,196
79,199,196
86,206,196
93,213,196
100,220,196
107,227,196
114,234,196
121,241,196
128,248,196
135,255,196
142,262,196
149,269,196
156,276,196
163,283,196
170,290,196
177,297,196
184,304,196
191,311,196
198,318,196
205,325,196
212,332,196
219,339,196
226,346,196
233,353,196
240,360,196
247,367,196
254,374,196
261,381,196
268,388,196
275,395,196
282,402,196
289,409,196
296,416,196
303,423,196
310,430,196
317,437,196
324,444,196
331,451,196
338,458,196
345,465,196
352,472,196
359,479,196
366,486,196
373,493,196
380,500,196
387,507,196
394,514,196
401,521,196
408,528,196
415,535,196
422,542,196
429,549,196
436,556,196
443,563,196
450,570,196
457,577,196
464,584,196
471,591,196
478,598,196
485,605,196
492,612,196
499,619,203
506,626,210
513,633,217
520,640,224
527,647,231
534,654,238
541,661,245
548,668,252
555,675,259
562,682,266
569,689,273
576,696,280
583,703,287
590,710,294
597,717,301
604,724,308
611,731,315
618,738,322
625,745,329
632,752,336
639,759,343
646,766,350
653,773,357
660,780,364
667,787,371
674,794,378
681,801,385
688,808,392
695,815,399
702,822,406
709,829,413
716,836,420
723,843,427
730,850,434
737,857,441
744,864,448
751,871,455
758,878,462
765,885,469
772,892,476
779,899,483
786,906,490
793,913,497
800,920,504
807,927,511
814,934,518
821,927,525
828,920,532
835,913,539
842,906,546
849,899,553
856,892,560
863,885,567
870,878,574
877,871,581
884,864,588
891,857,595
898,850,602
905,843,595
912,836,588
919,829,581
926,822,574
933,815,567
940,808,560
947,801,553
954,794,546
961,787,539
968,780,532
975,773,525
982,766,518
989,759,511
996,752,504
1003,745,497
1010,738,490
1017,731,483
1024,724,476
1031,717,469
1038,710,469
1045,703,469
