ball_x,ball_y,player_y
632,472,410
639,479,410
646,486,410
653,493,410
660,500,410
667,507,410
674,514,410
681,521,410
688,528,410
695,535,410
702,542,410
709,549,410
716,556,410
723,563,410
730,570,410
737,577,417
744,584,424
751,591,431
758,598,438
765,605,445
772,612,452
779,619,459
786,626,466
793,633,473
800,640,480
807,647,487
814,654,494
821,661,501
828,668,508
835,675,515
842,682,522
849,689,529
856,696,536
863,703,543
870,710,550
877,717,557
884,724,564
891,731,571
898,738,578
905,745,585
912,752,592
919,759,599
926,766,606
933,773,613
940,780,620
947,787,627
954,794,634
961,801,641
968,808,648
975,815,655
982,822,662
989,829,669
996,836,676
1003,843,683
1010,850,690
1017,857,697
1024,864,704
1031,871,711
1038,878,718
1045,885,725
1052,892,732
1059,899,739
1066,906,746
1073,913,753
1080,920,760
1087,927,767
1094,934,774
1101,927,781
1108,920,788
1115,913,795
1122,906,802
1129,899,809
1136,892,809
1143,885,809
1150,878,809
1157,871,809
1164,864,809
1171,857,809
1178,850,809
1185,843,809
1192,836,809
1199,829,809
1206,822,809
1213,815,809
1220,808,802
1227,801,795
1234,794,788
1227,787,781
1220,780,774
1213,773,767
1206,766,760
1199,759,753
1192,752,746
1185,745,739
1178,738,732
1171,731,725
1164,724,718
1157,717,711
1150,710,704
1143,703,704
1136,696,704
1129,689,704
1122,682,704
1115,675,704
1108,668,704
1101,661,704
1094,654,704
1087,647,704
1080,640,704
1073,633,704
1066,626,704
1059,619,704
1052,612,704
1045,605,704
1038,598,704
1031,591,704
1024,584,704
1017,577,704
1010,570,704
1003,563,704
996,556,704
989,549,704
982,542,704
975,535,704
968,528,704
961,521,704
954,514,704
947,507,704
940,500,704
933,493,704
926,486,704
919,479,704
912,472,704
905,465,704
898,458,704
891,451,704
884,444,704
877,437,704
870,430,704
863,423,704
856,416,704
849,409,704
842,402,704
835,395,704
828,388,704
821,381,704
814,374,704
807,367,704
800,360,704
793,353,704
786,346,704
779,339,704
772,332,704
765,325,704
758,318,704
751,311,704
744,304,704
737,297,704
730,290,704
723,283,704
716,276,704
709,269,704
702,262,704
695,255,704
688,248,704
681,241,704
674,234,704
667,227,704
660,220,704
653,213,704
646,206,704
639,199,704
632,192,704
625,185,704
618,178,704
611,171,704
604,164,704
597,157,704
590,150,704
583,143,704
576,136,704
569,129,704
562,122,704
555,115,704
548,108,704
541,101,704
534,94,704
527,87,704
520,80,704
513,73,704
506,66,704
499,59,704
492,52,704
485,45,704
478,38,704
471,31,704
464,24,704
457,17,704
450,10,704
443,3,704
436,-4,704
429,3,704
422,10,704
415,17,704
408,24,704
401,31,704
394,38,704
387,45,704
380,52,704
373,59,704
366,66,704
359,73,704
352,80,704
345,87,704
338,94,704
331,101,704
324,108,704
317,115,704
310,122,704
303,129,704
296,136,704
289,143,704
282,150,704
275,157,704
268,164,704
261,171,704
254,178,704
247,185,704
240,192,704
233,199,704
226,206,704
219,213,704
212,220,704
205,227,704
198,234,704
191,241,704
184,248,704
177,255,704
170,262,704
163,269,704
156,276,704
149,283,704
142,290,704
135,297,704
128,304,704
121,311,704
114,318,704
107,325,704
100,332,704
93,339,704
86,346,704
79,353,704
72,360,704
65,367,704
58,374,704
51,381,704
44,388,704
37,395,704
30,402,704
23,409,704
16,416,704
9,423,704
2,430,704
625,465,704
632,458,704
639,451,704
646,444,704
653,437,704
660,430,704
667,423,704
674,416,704
681,409,704
688,402,704
695,395,704
702,388,704
709,381,704
716,374,704
723,367,704
730,360,704
737,353,697
744,346,690
751,339,683
758,332,676
765,325,669
772,318,662
779,311,655
786,304,648
793,297,641
800,290,634
807,283,627
814,276,620
