ball_x,ball_y,player_y
632,472,410
639,479,410
646,486,410
653,493,410
660,500,410
667,507,410
674,514,410
681,521,410
688,528,410
695,535,410
702,542,410
709,549,410
716,556,410
723,563,410
730,570,410
737,577,410
744,584,410
751,591,410
758,598,410
765,605,410
772,612,410
779,619,410
786,626,410
793,633,410
800,640,410
807,647,403
814,654,396
821,661,389
828,668,382
835,675,375
842,682,368
849,689,361
856,696,354
863,703,347
870,710,340
877,717,333
884,724,326
891,731,319
898,738,326
905,745,333
912,752,340
919,759,347
926,766,347
933,773,347
940,780,347
947,787,347
954,794,347
961,801,354
968,808,361
975,815,368
982,822,375
989,829,382
996,836,389
1003,843,396
1010,850,403
1017,857,410
1024,864,417
1031,871,424
1038,878,431
1045,885,438
1052,892,445
1059,899,452
1066,906,459
1073,913,466
1080,920,473
1087,927,480
1094,934,487
1101,927,494
1108,920,501
1115,913,508
1122,906,515
1129,899,522
1136,892,529
1143,885,536
1150,878,543
1157,871,550
1164,864,557
1171,857,564
1178,850,571
1185,843,578
1192,836,585
1199,829,592
1206,822,599
1213,815,606
1220,808,613
1227,801,620
1234,794,627
1241,787,634
1248,780,641
625,465,648
618,458,655
611,451,662
604,444,669
597,437,676
590,430,683
583,423,683
576,416,683
569,409,683
562,402,683
555,395,683
548,388,683
541,381,683
534,374,683
527,367,676
520,360,669
513,353,662
506,346,655
499,339,648
492,332,641
485,325,634
478,318,627
471,311,620
464,304,613
457,297,606
450,290,599
443,283,592
436,276,585
429,269,578
422,262,571
415,255,564
408,248,557
401,241,550
394,234,543
387,227,536
380,220,529
373,213,522
366,206,515
359,199,508
352,192,501
345,185,494
338,178,487
331,171,480
324,164,473
317,157,466
310,150,459
303,143,452
296,136,445
289,129,438
282,122,431
275,115,424
268,108,417
261,101,410
254,94,403
247,87,396
240,80,389
233,73,382
226,66,375
219,59,368
212,52,361
205,45,354
198,38,347
191,31,340
184,24,333
177,17,326
170,10,319
163,3,312
156,-4,305
149,3,298
142,10,291
135,17,284
128,24,277
121,31,270
114,38,263
107,45,256
100,52,249
93,59,242
86,66,235
79,73,228
72,80,221
65,87,214
58,94,207
51,101,200
44,108,193
37,115,186
30,122,179
23,129,172
16,136,165
9,143,158
16,150,158
9,157,158
16,164,158
9,171,158
16,178,158
9,185,165
16,192,172
9,199,179
16,206,186
9,213,193
16,220,200
9,227,207
16,234,214
9,241,221
16,248,228
9,255,235
16,262,242
9,269,249
16,276,256
9,283,263
16,290,270
9,297,277
16,304,284
9,311,291
16,318,298
9,325,305
16,332,312
9,339,319
16,346,326
9,353,333
16,360,340
9,367,347
16,374,354
9,381,361
16,388,368
9,395,375
16,402,382
9,409,389
16,416,396
9,423,403
16,430,410
9,437,417
16,444,424
9,451,431
16,458,438
9,465,445
2,472,452
625,465,459
618,472,466
611,479,473
604,486,480
597,493,487
590,500,494
583,507,501
576,514,508
569,521,515
562,528,522
555,535,529
548,542,536
541,549,543
534,556,550
527,563,557
520,570,564
513,577,571
506,584,578
499,591,585
492,598,592
485,605,599
478,612,606
471,619,613
464,626,620
457,633,627
450,640,634
443,647,641
436,654,648
429,661,655
422,668,662
415,675,669
408,682,676
401,689,683
394,696,690
387,703,697
380,710,704
373,717,711
366,724,718
359,731,725
352,738,732
345,745,739
338,752,746
331,759,753
324,766,760
317,773,767
310,780,774
303,787,781
296,794,788
289,801,795
282,808,802
275,815,809
268,822,816
261,829,820
254,836,820
247,843,820
240,850,820
233,857,820
226,864,820
219,871,820
212,878,820
205,885,820
198,892,820
191,899,820
184,906,820
177,913,820
170,920,820
163,927,820
156,934,820
149,927,820
142,920,820
135,913,820
